"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","RENEWABLE","TOT","KTOE","A","1963",12.384,
"BEL","RENEWABLE","TOT","KTOE","A","1964",9.89,
"BEL","RENEWABLE","TOT","KTOE","A","1965",23.392,
"BEL","RENEWABLE","TOT","KTOE","A","1966",25.714,
"BEL","RENEWABLE","TOT","KTOE","A","1967",20.468,
"BEL","RENEWABLE","TOT","KTOE","A","1968",20.984,
"BEL","RENEWABLE","TOT","KTOE","A","1969",19.78,
"BEL","RENEWABLE","TOT","KTOE","A","1970",21.156,
"BEL","RENEWABLE","TOT","KTOE","A","1971",11.524,
"BEL","RENEWABLE","TOT","KTOE","A","1972",15.48,
"BEL","RENEWABLE","TOT","KTOE","A","1973",23.327,
"BEL","RENEWABLE","TOT","KTOE","A","1974",37.165,
"BEL","RENEWABLE","TOT","KTOE","A","1975",34.842,
"BEL","RENEWABLE","TOT","KTOE","A","1976",27.38,
"BEL","RENEWABLE","TOT","KTOE","A","1977",62.367,
"BEL","RENEWABLE","TOT","KTOE","A","1978",86.185,
"BEL","RENEWABLE","TOT","KTOE","A","1979",92.695,
"BEL","RENEWABLE","TOT","KTOE","A","1980",81.292,
"BEL","RENEWABLE","TOT","KTOE","A","1981",88.765,
"BEL","RENEWABLE","TOT","KTOE","A","1982",37.139,
"BEL","RENEWABLE","TOT","KTOE","A","1983",39.929,
"BEL","RENEWABLE","TOT","KTOE","A","1984",42.843,
"BEL","RENEWABLE","TOT","KTOE","A","1985",50.234,
"BEL","RENEWABLE","TOT","KTOE","A","1986",76.279,
"BEL","RENEWABLE","TOT","KTOE","A","1987",92.167,
"BEL","RENEWABLE","TOT","KTOE","A","1988",98.116,
"BEL","RENEWABLE","TOT","KTOE","A","1989",287.698,
"BEL","RENEWABLE","TOT","KTOE","A","1990",481.09,
"BEL","RENEWABLE","TOT","KTOE","A","1991",486.758,
"BEL","RENEWABLE","TOT","KTOE","A","1992",482.65,
"BEL","RENEWABLE","TOT","KTOE","A","1993",408.576,
"BEL","RENEWABLE","TOT","KTOE","A","1994",405.305,
"BEL","RENEWABLE","TOT","KTOE","A","1995",527.907,
"BEL","RENEWABLE","TOT","KTOE","A","1996",527.022,
"BEL","RENEWABLE","TOT","KTOE","A","1997",518.798,
"BEL","RENEWABLE","TOT","KTOE","A","1998",570.005,
"BEL","RENEWABLE","TOT","KTOE","A","1999",606.143,
"BEL","RENEWABLE","TOT","KTOE","A","2000",637.912,
"BEL","RENEWABLE","TOT","KTOE","A","2001",703.587,
"BEL","RENEWABLE","TOT","KTOE","A","2002",711.475,
"BEL","RENEWABLE","TOT","KTOE","A","2003",867.142,
"BEL","RENEWABLE","TOT","KTOE","A","2004",965.675,
"BEL","RENEWABLE","TOT","KTOE","A","2005",1156.089,
"BEL","RENEWABLE","TOT","KTOE","A","2006",1364.637,
"BEL","RENEWABLE","TOT","KTOE","A","2007",1680.629,
"BEL","RENEWABLE","TOT","KTOE","A","2008",2010.484,
"BEL","RENEWABLE","TOT","KTOE","A","2009",2394.319,
"BEL","RENEWABLE","TOT","KTOE","A","2010",2801.874,
"BEL","RENEWABLE","TOT","KTOE","A","2011",3094.246,
"BEL","RENEWABLE","TOT","KTOE","A","2012",3350.106,
"BEL","RENEWABLE","TOT","KTOE","A","2013",3475.045,
"BEL","RENEWABLE","TOT","KTOE","A","2014",3358.313,
"BEL","RENEWABLE","TOT","KTOE","A","2015",3321.576,
"CAN","RENEWABLE","TOT","KTOE","A","1960",13240.44,
"CAN","RENEWABLE","TOT","KTOE","A","1961",13102.465,
"CAN","RENEWABLE","TOT","KTOE","A","1962",13096.348,
"CAN","RENEWABLE","TOT","KTOE","A","1963",13084.669,
"CAN","RENEWABLE","TOT","KTOE","A","1964",13866.123,
"CAN","RENEWABLE","TOT","KTOE","A","1965",13956.977,
"CAN","RENEWABLE","TOT","KTOE","A","1966",15208.946,
"CAN","RENEWABLE","TOT","KTOE","A","1967",16054.401,
"CAN","RENEWABLE","TOT","KTOE","A","1968",17067.359,
"CAN","RENEWABLE","TOT","KTOE","A","1969",18876.535,
"CAN","RENEWABLE","TOT","KTOE","A","1970",21116.776,
"CAN","RENEWABLE","TOT","KTOE","A","1971",21595.336,
"CAN","RENEWABLE","TOT","KTOE","A","1972",23227.331,
"CAN","RENEWABLE","TOT","KTOE","A","1973",24554.377,
"CAN","RENEWABLE","TOT","KTOE","A","1974",25844.93,
"CAN","RENEWABLE","TOT","KTOE","A","1975",23633.757,
"CAN","RENEWABLE","TOT","KTOE","A","1976",24618.308,
"CAN","RENEWABLE","TOT","KTOE","A","1977",25328.518,
"CAN","RENEWABLE","TOT","KTOE","A","1978",27155.587,
"CAN","RENEWABLE","TOT","KTOE","A","1979",28104.389,
"CAN","RENEWABLE","TOT","KTOE","A","1980",29245.797,
"CAN","RENEWABLE","TOT","KTOE","A","1981",30163.174,
"CAN","RENEWABLE","TOT","KTOE","A","1982",29376.494,
"CAN","RENEWABLE","TOT","KTOE","A","1983",30822.933,
"CAN","RENEWABLE","TOT","KTOE","A","1984",32579.126,
"CAN","RENEWABLE","TOT","KTOE","A","1985",34590.269,
"CAN","RENEWABLE","TOT","KTOE","A","1986",35577.573,
"CAN","RENEWABLE","TOT","KTOE","A","1987",36148.655,
"CAN","RENEWABLE","TOT","KTOE","A","1988",35367.646,
"CAN","RENEWABLE","TOT","KTOE","A","1989",33665.906,
"CAN","RENEWABLE","TOT","KTOE","A","1990",36329.706,
"CAN","RENEWABLE","TOT","KTOE","A","1991",37306.237,
"CAN","RENEWABLE","TOT","KTOE","A","1992",38082.852,
"CAN","RENEWABLE","TOT","KTOE","A","1993",38748.054,
"CAN","RENEWABLE","TOT","KTOE","A","1994",40753.214,
"CAN","RENEWABLE","TOT","KTOE","A","1995",41664.646,
"CAN","RENEWABLE","TOT","KTOE","A","1996",42692.852,
"CAN","RENEWABLE","TOT","KTOE","A","1997",42320.624,
"CAN","RENEWABLE","TOT","KTOE","A","1998",41412.852,
"CAN","RENEWABLE","TOT","KTOE","A","1999",43273.483,
"CAN","RENEWABLE","TOT","KTOE","A","2000",44584.865,
"CAN","RENEWABLE","TOT","KTOE","A","2001",41480.846,
"CAN","RENEWABLE","TOT","KTOE","A","2002",44151.049,
"CAN","RENEWABLE","TOT","KTOE","A","2003",42825.267,
"CAN","RENEWABLE","TOT","KTOE","A","2004",44202.529,
"CAN","RENEWABLE","TOT","KTOE","A","2005",45302.306,
"CAN","RENEWABLE","TOT","KTOE","A","2006",43953.275,
"CAN","RENEWABLE","TOT","KTOE","A","2007",45610.448,
"CAN","RENEWABLE","TOT","KTOE","A","2008",45694.691,
"CAN","RENEWABLE","TOT","KTOE","A","2009",44707.856,
"CAN","RENEWABLE","TOT","KTOE","A","2010",43558.807,
"CAN","RENEWABLE","TOT","KTOE","A","2011",47404.662,
"CAN","RENEWABLE","TOT","KTOE","A","2012",47839.948,
"CAN","RENEWABLE","TOT","KTOE","A","2013",50203.582,
"CAN","RENEWABLE","TOT","KTOE","A","2014",50127.037,
"CAN","RENEWABLE","TOT","KTOE","A","2015",49703.237,
"CZE","RENEWABLE","TOT","KTOE","A","1960",,"L"
"CZE","RENEWABLE","TOT","KTOE","A","1961",,"L"
"CZE","RENEWABLE","TOT","KTOE","A","1962",,"L"
"CZE","RENEWABLE","TOT","KTOE","A","1963",,"L"
"CZE","RENEWABLE","TOT","KTOE","A","1964",,"L"
"CZE","RENEWABLE","TOT","KTOE","A","1965",,"L"
"CZE","RENEWABLE","TOT","KTOE","A","1966",,"L"
"CZE","RENEWABLE","TOT","KTOE","A","1967",,"L"
"CZE","RENEWABLE","TOT","KTOE","A","1968",,"L"
"CZE","RENEWABLE","TOT","KTOE","A","1969",,"L"
"CZE","RENEWABLE","TOT","KTOE","A","1970",,"L"
"CZE","RENEWABLE","TOT","KTOE","A","1971",103.888,
"CZE","RENEWABLE","TOT","KTOE","A","1972",108.704,
"CZE","RENEWABLE","TOT","KTOE","A","1973",92.966,
"CZE","RENEWABLE","TOT","KTOE","A","1974",156.434,
"CZE","RENEWABLE","TOT","KTOE","A","1975",156.004,
"CZE","RENEWABLE","TOT","KTOE","A","1976",124.356,
"CZE","RENEWABLE","TOT","KTOE","A","1977",169.162,
"CZE","RENEWABLE","TOT","KTOE","A","1978",157.38,
"CZE","RENEWABLE","TOT","KTOE","A","1979",197.198,
"CZE","RENEWABLE","TOT","KTOE","A","1980",206.314,
"CZE","RENEWABLE","TOT","KTOE","A","1981",177.246,
"CZE","RENEWABLE","TOT","KTOE","A","1982",143.62,
"CZE","RENEWABLE","TOT","KTOE","A","1983",142.33,
"CZE","RENEWABLE","TOT","KTOE","A","1984",111.628,
"CZE","RENEWABLE","TOT","KTOE","A","1985",143.706,
"CZE","RENEWABLE","TOT","KTOE","A","1986",161.336,
"CZE","RENEWABLE","TOT","KTOE","A","1987",211.99,
"CZE","RENEWABLE","TOT","KTOE","A","1988",180.514,
"CZE","RENEWABLE","TOT","KTOE","A","1989",141.298,
"CZE","RENEWABLE","TOT","KTOE","A","1990",917.689,
"CZE","RENEWABLE","TOT","KTOE","A","1991",742.712,
"CZE","RENEWABLE","TOT","KTOE","A","1992",1200.283,
"CZE","RENEWABLE","TOT","KTOE","A","1993",1218.914,
"CZE","RENEWABLE","TOT","KTOE","A","1994",1341.292,
"CZE","RENEWABLE","TOT","KTOE","A","1995",1200.52,
"CZE","RENEWABLE","TOT","KTOE","A","1996",1217.479,
"CZE","RENEWABLE","TOT","KTOE","A","1997",1302.295,
"CZE","RENEWABLE","TOT","KTOE","A","1998",1383.387,
"CZE","RENEWABLE","TOT","KTOE","A","1999",1427.528,
"CZE","RENEWABLE","TOT","KTOE","A","2000",1341.059,
"CZE","RENEWABLE","TOT","KTOE","A","2001",1480.835,
"CZE","RENEWABLE","TOT","KTOE","A","2002",1568.277,
"CZE","RENEWABLE","TOT","KTOE","A","2003",1534.556,
"CZE","RENEWABLE","TOT","KTOE","A","2004",1735.679,
"CZE","RENEWABLE","TOT","KTOE","A","2005",1782.901,
"CZE","RENEWABLE","TOT","KTOE","A","2006",1929.878,
"CZE","RENEWABLE","TOT","KTOE","A","2007",2140.67,
"CZE","RENEWABLE","TOT","KTOE","A","2008",2208.451,
"CZE","RENEWABLE","TOT","KTOE","A","2009",2426.205,
"CZE","RENEWABLE","TOT","KTOE","A","2010",2779.939,
"CZE","RENEWABLE","TOT","KTOE","A","2011",2991.489,
"CZE","RENEWABLE","TOT","KTOE","A","2012",3206.652,
"CZE","RENEWABLE","TOT","KTOE","A","2013",3573.07,
"CZE","RENEWABLE","TOT","KTOE","A","2014",3633.485,
"CZE","RENEWABLE","TOT","KTOE","A","2015",3571.81,
"DNK","RENEWABLE","TOT","KTOE","A","1960",2.15,
"DNK","RENEWABLE","TOT","KTOE","A","1961",2.236,
"DNK","RENEWABLE","TOT","KTOE","A","1962",2.236,
"DNK","RENEWABLE","TOT","KTOE","A","1963",2.15,
"DNK","RENEWABLE","TOT","KTOE","A","1964",2.15,
"DNK","RENEWABLE","TOT","KTOE","A","1965",2.15,
"DNK","RENEWABLE","TOT","KTOE","A","1966",2.236,
"DNK","RENEWABLE","TOT","KTOE","A","1967",2.15,
"DNK","RENEWABLE","TOT","KTOE","A","1968",1.806,
"DNK","RENEWABLE","TOT","KTOE","A","1969",1.892,
"DNK","RENEWABLE","TOT","KTOE","A","1970",319.668,
"DNK","RENEWABLE","TOT","KTOE","A","1971",329.22,
"DNK","RENEWABLE","TOT","KTOE","A","1972",307.418,
"DNK","RENEWABLE","TOT","KTOE","A","1973",307.418,
"DNK","RENEWABLE","TOT","KTOE","A","1974",307.418,
"DNK","RENEWABLE","TOT","KTOE","A","1975",321.173,
"DNK","RENEWABLE","TOT","KTOE","A","1976",339.249,
"DNK","RENEWABLE","TOT","KTOE","A","1977",340.2,
"DNK","RENEWABLE","TOT","KTOE","A","1978",377.176,
"DNK","RENEWABLE","TOT","KTOE","A","1979",469.233,
"DNK","RENEWABLE","TOT","KTOE","A","1980",586.245,
"DNK","RENEWABLE","TOT","KTOE","A","1981",704.782,
"DNK","RENEWABLE","TOT","KTOE","A","1982",758.335,
"DNK","RENEWABLE","TOT","KTOE","A","1983",793.764,
"DNK","RENEWABLE","TOT","KTOE","A","1984",833.768,
"DNK","RENEWABLE","TOT","KTOE","A","1985",858.455,
"DNK","RENEWABLE","TOT","KTOE","A","1986",933.021,
"DNK","RENEWABLE","TOT","KTOE","A","1987",1067.056,
"DNK","RENEWABLE","TOT","KTOE","A","1988",1076.665,
"DNK","RENEWABLE","TOT","KTOE","A","1989",1091.034,
"DNK","RENEWABLE","TOT","KTOE","A","1990",1031.464,
"DNK","RENEWABLE","TOT","KTOE","A","1991",1125.514,
"DNK","RENEWABLE","TOT","KTOE","A","1992",1192.138,
"DNK","RENEWABLE","TOT","KTOE","A","1993",1245.788,
"DNK","RENEWABLE","TOT","KTOE","A","1994",1241.574,
"DNK","RENEWABLE","TOT","KTOE","A","1995",1298.27,
"DNK","RENEWABLE","TOT","KTOE","A","1996",1374.458,
"DNK","RENEWABLE","TOT","KTOE","A","1997",1477.394,
"DNK","RENEWABLE","TOT","KTOE","A","1998",1546.399,
"DNK","RENEWABLE","TOT","KTOE","A","1999",1628.247,
"DNK","RENEWABLE","TOT","KTOE","A","2000",1796.534,
"DNK","RENEWABLE","TOT","KTOE","A","2001",1952.019,
"DNK","RENEWABLE","TOT","KTOE","A","2002",2092.844,
"DNK","RENEWABLE","TOT","KTOE","A","2003",2411.779,
"DNK","RENEWABLE","TOT","KTOE","A","2004",2666.578,
"DNK","RENEWABLE","TOT","KTOE","A","2005",2839.199,
"DNK","RENEWABLE","TOT","KTOE","A","2006",2888.68,
"DNK","RENEWABLE","TOT","KTOE","A","2007",3204.896,
"DNK","RENEWABLE","TOT","KTOE","A","2008",3247.022,
"DNK","RENEWABLE","TOT","KTOE","A","2009",3300.266,
"DNK","RENEWABLE","TOT","KTOE","A","2010",3918.737,
"DNK","RENEWABLE","TOT","KTOE","A","2011",4000.281,
"DNK","RENEWABLE","TOT","KTOE","A","2012",4182.927,
"DNK","RENEWABLE","TOT","KTOE","A","2013",4328.815,
"DNK","RENEWABLE","TOT","KTOE","A","2014",4434.427,
"DNK","RENEWABLE","TOT","KTOE","A","2015",4542.163,
"FIN","RENEWABLE","TOT","KTOE","A","1960",5262.805,
"FIN","RENEWABLE","TOT","KTOE","A","1961",5471.757,
"FIN","RENEWABLE","TOT","KTOE","A","1962",5534.121,
"FIN","RENEWABLE","TOT","KTOE","A","1963",5366.529,
"FIN","RENEWABLE","TOT","KTOE","A","1964",5362.917,
"FIN","RENEWABLE","TOT","KTOE","A","1965",5420.472,
"FIN","RENEWABLE","TOT","KTOE","A","1966",5443.004,
"FIN","RENEWABLE","TOT","KTOE","A","1967",5402.468,
"FIN","RENEWABLE","TOT","KTOE","A","1968",5184.431,
"FIN","RENEWABLE","TOT","KTOE","A","1969",5012.358,
"FIN","RENEWABLE","TOT","KTOE","A","1970",4974.4,
"FIN","RENEWABLE","TOT","KTOE","A","1971",4962.155,
"FIN","RENEWABLE","TOT","KTOE","A","1972",4853.912,
"FIN","RENEWABLE","TOT","KTOE","A","1973",4845.756,
"FIN","RENEWABLE","TOT","KTOE","A","1974",4943.555,
"FIN","RENEWABLE","TOT","KTOE","A","1975",4215.452,
"FIN","RENEWABLE","TOT","KTOE","A","1976",3976.585,
"FIN","RENEWABLE","TOT","KTOE","A","1977",4124.966,
"FIN","RENEWABLE","TOT","KTOE","A","1978",4062.854,
"FIN","RENEWABLE","TOT","KTOE","A","1979",4340.49,
"FIN","RENEWABLE","TOT","KTOE","A","1980",4341.988,
"FIN","RENEWABLE","TOT","KTOE","A","1981",4749.926,
"FIN","RENEWABLE","TOT","KTOE","A","1982",4518.511,
"FIN","RENEWABLE","TOT","KTOE","A","1983",4903.534,
"FIN","RENEWABLE","TOT","KTOE","A","1984",5151.808,
"FIN","RENEWABLE","TOT","KTOE","A","1985",4777.799,
"FIN","RENEWABLE","TOT","KTOE","A","1986",4805.253,
"FIN","RENEWABLE","TOT","KTOE","A","1987",5154.725,
"FIN","RENEWABLE","TOT","KTOE","A","1988",5081.103,
"FIN","RENEWABLE","TOT","KTOE","A","1989",5370.991,
"FIN","RENEWABLE","TOT","KTOE","A","1990",5489.462,
"FIN","RENEWABLE","TOT","KTOE","A","1991",5316.321,
"FIN","RENEWABLE","TOT","KTOE","A","1992",5380.289,
"FIN","RENEWABLE","TOT","KTOE","A","1993",5652.101,
"FIN","RENEWABLE","TOT","KTOE","A","1994",5796.077,
"FIN","RENEWABLE","TOT","KTOE","A","1995",6127.358,
"FIN","RENEWABLE","TOT","KTOE","A","1996",6161.401,
"FIN","RENEWABLE","TOT","KTOE","A","1997",6743.746,
"FIN","RENEWABLE","TOT","KTOE","A","1998",7245.937,
"FIN","RENEWABLE","TOT","KTOE","A","1999",7254.653,
"FIN","RENEWABLE","TOT","KTOE","A","2000",7749.747,
"FIN","RENEWABLE","TOT","KTOE","A","2001",7482.01,
"FIN","RENEWABLE","TOT","KTOE","A","2002",7784.576,
"FIN","RENEWABLE","TOT","KTOE","A","2003",7837.049,
"FIN","RENEWABLE","TOT","KTOE","A","2004",8668.037,
"FIN","RENEWABLE","TOT","KTOE","A","2005",8084.691,
"FIN","RENEWABLE","TOT","KTOE","A","2006",8689.405,
"FIN","RENEWABLE","TOT","KTOE","A","2007",8655.596,
"FIN","RENEWABLE","TOT","KTOE","A","2008",9141.087,
"FIN","RENEWABLE","TOT","KTOE","A","2009",8051.038,
"FIN","RENEWABLE","TOT","KTOE","A","2010",9342.488,
"FIN","RENEWABLE","TOT","KTOE","A","2011",9142.629,
"FIN","RENEWABLE","TOT","KTOE","A","2012",9989.338,
"FIN","RENEWABLE","TOT","KTOE","A","2013",9910.681,
"FIN","RENEWABLE","TOT","KTOE","A","2014",10153.316,
"FIN","RENEWABLE","TOT","KTOE","A","2015",10472.371,
"FRA","RENEWABLE","TOT","KTOE","A","1960",3516.282,
"FRA","RENEWABLE","TOT","KTOE","A","1961",3329.748,
"FRA","RENEWABLE","TOT","KTOE","A","1962",3118.446,
"FRA","RENEWABLE","TOT","KTOE","A","1963",3784.86,
"FRA","RENEWABLE","TOT","KTOE","A","1964",3027.2,
"FRA","RENEWABLE","TOT","KTOE","A","1965",4031.25,
"FRA","RENEWABLE","TOT","KTOE","A","1966",4488.942,
"FRA","RENEWABLE","TOT","KTOE","A","1967",3919.622,
"FRA","RENEWABLE","TOT","KTOE","A","1968",4371.724,
"FRA","RENEWABLE","TOT","KTOE","A","1969",4592.142,
"FRA","RENEWABLE","TOT","KTOE","A","1970",14281.443,
"FRA","RENEWABLE","TOT","KTOE","A","1971",13665.281,
"FRA","RENEWABLE","TOT","KTOE","A","1972",13780.431,
"FRA","RENEWABLE","TOT","KTOE","A","1973",13937.392,
"FRA","RENEWABLE","TOT","KTOE","A","1974",13727.55,
"FRA","RENEWABLE","TOT","KTOE","A","1975",14393.805,
"FRA","RENEWABLE","TOT","KTOE","A","1976",13015.28,
"FRA","RENEWABLE","TOT","KTOE","A","1977",15545.643,
"FRA","RENEWABLE","TOT","KTOE","A","1978",15142.929,
"FRA","RENEWABLE","TOT","KTOE","A","1979",15262.52,
"FRA","RENEWABLE","TOT","KTOE","A","1980",14680.527,
"FRA","RENEWABLE","TOT","KTOE","A","1981",14617.099,
"FRA","RENEWABLE","TOT","KTOE","A","1982",14664.325,
"FRA","RENEWABLE","TOT","KTOE","A","1983",15495.747,
"FRA","RENEWABLE","TOT","KTOE","A","1984",15368.792,
"FRA","RENEWABLE","TOT","KTOE","A","1985",16273.101,
"FRA","RENEWABLE","TOT","KTOE","A","1986",16069.829,
"FRA","RENEWABLE","TOT","KTOE","A","1987",17307.198,
"FRA","RENEWABLE","TOT","KTOE","A","1988",17117.64,
"FRA","RENEWABLE","TOT","KTOE","A","1989",14385.51,
"FRA","RENEWABLE","TOT","KTOE","A","1990",15223.076,
"FRA","RENEWABLE","TOT","KTOE","A","1991",17143.435,
